Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
Ground babblers,Malacocincla abbotti,Abbott's Babbler,Unknown,not applicable,Stable,suspected
"Gannets, Boobies",Papasula abbotti,Abbott's Booby,6000,estimated,Stable,estimated
Starlings,Arizelopsar femoralis,Abbott's Starling,1000-2499,estimated,Decreasing,inferred
Old World Sparrows,Passer hemileucus,Abd al Kuri Sparrow,250-999,estimated,Decreasing,suspected
Storks,Ciconia abdimii,Abdim's Stork,Unknown,estimated,Decreasing,suspected
Cisticolas and allies,Cisticola aberdare,Aberdare Cisticola,Unknown,estimated,Decreasing,suspected
Bush-warblers,Horornis flavolivaceus,Aberrant Bush-warbler,Unknown,not applicable,Stable,suspected
New World sparrows,Melozone aberti,Abert's Towhee,950000,inferred,Increasing,inferred
Old World Warblers,Sylvia galinieri,Abyssinian Catbird,Unknown,not applicable,Decreasing,suspected
Finches,Crithagra citrinelloides,Abyssinian Citril,Unknown,not applicable,Stable,suspected
Waxbills,Cryptospiza salvadorii,Abyssinian Crimsonwing,Unknown,not applicable,Stable,suspected
Thrushes,Geokichla piaggiae,Abyssinian Ground-thrush,Unknown,,Decreasing,suspected
Pipits and Wagtails,Macronyx flavicollis,Abyssinian Longclaw,Unknown,not applicable,Decreasing,suspected
Typical Owls,Asio abyssinicus,Abyssinian Owl,Unknown,not applicable,Stable,suspected
Rollers,Coracias abyssinicus,Abyssinian Roller,Unknown,not applicable,Increasing,suspected
Woodhoopoes,Rhinopomastus minor,Abyssinian Scimitarbill,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Melaenornis chocolatinus,Abyssinian Slaty-flycatcher,Unknown,not applicable,Decreasing,suspected
Thrushes,Turdus abyssinicus,Abyssinian Thrush,Unknown,,Unknown,not applicable
Old World Flycatchers and Chats,Oenanthe lugubris,Abyssinian Wheatear,Unknown,not applicable,Stable,suspected
White-eyes and Yuhinas,Zosterops abyssinicus,Abyssinian White-eye,Unknown,not applicable,Unknown,not applicable
Woodpeckers,Dendropicos abyssinicus,Abyssinian Woodpecker,Unknown,not applicable,Decreasing,suspected
African barbets,Tricholaema leucomelas,Acacia Pied Barbet,Unknown,not applicable,Increasing,suspected
Tyrant-flycatchers,Empidonax virescens,Acadian Flycatcher,5200000,estimated,Stable,estimated
Bulbuls,Pycnonotus snouckaerti,Aceh Bulbul,250-999,suspected,Decreasing,inferred
Woodpeckers,Melanerpes formicivorus,Acorn Woodpecker,1500000-3400000,estimated,Increasing,estimated
Typical Antbirds,Thamnophilus divisorius,Acre Antshrike,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Hemitriccus cohnhafti,Acre Tody-tyrant,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Streptopelia hypopyrrha,Adamawa Turtle-dove,Unknown,not applicable,Stable,suspected
New World warblers,Setophaga adelaidae,Adelaide's Warbler,Unknown,,Stable,suspected
Penguins,Pygoscelis adeliae,Adelie Penguin,10000000,estimated,Increasing,estimated
"Pigeons, Doves",Columba unicincta,Afep Pigeon,Unknown,not applicable,Decreasing,inferred
Old World Sparrows,Pyrgilauda theresae,Afghan Snowfinch,Unknown,not applicable,Stable,suspected
Typical Owls,Glaucidium capense,African Barred Owlet,Unknown,,Decreasing,suspected
"Ducks, Geese, Swans",Anas sparsa,African Black Duck,19400-46700,estimated,Decreasing,suspected
Fairy Flycatcher and allies,Elminia longicauda,African Blue Flycatcher,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Synoicus adansonii,African Blue Quail,Unknown,,Stable,suspected
Tits and chickadees,Cyanistes teneriffae,African Blue Tit,Unknown,unknown,Unknown,
African and green broadbills,Smithornis capensis,African Broadbill,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Streptopelia roseogrisea,African Collared-dove,Unknown,not applicable,Stable,suspected
"Rails, Gallinules, Coots",Crex egregia,African Crake,Unknown,not applicable,Stable,suspected
Finches,Rhodopechys alienus,African Crimson-winged Finch,Unknown,estimated,Stable,suspected
Cuckoos,Cuculus gularis,African Cuckoo,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Aviceda cuculoides,African Cuckoo-hawk,Unknown,suspected,Stable,suspected
Darters,Anhinga rufa,African Darter,17000-84400,estimated,Stable,suspected
Old World Warblers,Curruca deserti,African Desert Warbler,Unknown,not applicable,Stable,suspected
Old World Flycatchers and Chats,Muscicapa adusta,African Dusky Flycatcher,Unknown,not applicable,Decreasing,suspected
Kingfishers,Ispidina lecontei,African Dwarf-kingfisher,Unknown,not applicable,Decreasing,suspected
Cuckoos,Chrysococcyx cupreus,African Emerald Cuckoo,Unknown,not applicable,Decreasing,suspected
Finfoots,Podica senegalensis,African Finfoot,30000-823000,estimated,Unknown,suspected
Waxbills,Lagonosticta rubricata,African Firefinch,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Haliaeetus vocifer,African Fish-eagle,Unknown,,Stable,suspected
Old World Flycatchers and Chats,Fraseria ocreata,African Forest-flycatcher,Unknown,not applicable,Decreasing,suspected
Old World Orioles,Oriolus auratus,African Golden Oriole,Unknown,not applicable,Decreasing,inferred
Weavers,Ploceus subaureus,African Golden Weaver,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Accipiter tachiro,African Goshawk,Unknown,,Decreasing,suspected
Barn-owls,Tyto capensis,African Grass-owl,Unknown,not applicable,Decreasing,suspected
Bee-eaters,Merops viridissimus,African Green Bee-eater,Unknown,not applicable,Increasing,suspected
"Pigeons, Doves",Treron calvus,African Green-pigeon,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Bradornis microrhynchus,African Grey Flycatcher,Unknown,,Stable,suspected
Hornbills,Lophoceros nasutus,African Grey Hornbill,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Polyboroides typus,African Harrier-hawk,Unknown,estimated,Stable,suspected
"Hawks, Eagles",Aquila spilogaster,African Hawk-eagle,Unknown,estimated,Decreasing,suspected
Old World Warblers,Sylvia abyssinica,African Hill-babbler,Unknown,not applicable,Decreasing,suspected
"Falcons, Caracaras",Falco cuvierii,African Hobby,Unknown,suspected,Decreasing,suspected
Bustards,Chlamydotis undulata,African Houbara,Unknown,suspected,Decreasing,inferred
Jacanas,Actophilornis africanus,African Jacana,667000-667000,estimated,Stable,suspected
"Hawks, Eagles",Circus ranivorus,African Marsh-harrier,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Columba arquatrix,African Olive-pigeon,Unknown,not applicable,Decreasing,suspected
Storks,Anastomus lamelligerus,African Openbill,Unknown,estimated,Stable,suspected
Oystercatchers,Haematopus moquini,African Oystercatcher,4450,estimated,Increasing,estimated
Swifts,Cypsiurus parvus,African Palm Swift,Unknown,not applicable,Increasing,suspected
Monarch-flycatchers,Terpsiphone viridis,African Paradise-flycatcher,Unknown,not applicable,Stable,suspected
Penguins,Spheniscus demersus,African Penguin,19800,estimated,Decreasing,estimated
Woodpeckers,Verreauxia africana,African Piculet,Unknown,not applicable,Decreasing,suspected
Starlings,Lamprotornis bicolor,African Pied Starling,Unknown,not applicable,Stable,suspected
Pipits and Wagtails,Motacilla aguimp,African Pied Wagtail,Unknown,not applicable,Stable,suspected
Pipits and Wagtails,Anthus cinnamomeus,African Pipit,Unknown,,Stable,suspected
Pittas,Pitta angolensis,African Pitta,Unknown,not applicable,Decreasing,suspected
Swallows and martins,Riparia paludicola,African Plain Martin,Unknown,not applicable,Decreasing,suspected
"Falcons, Caracaras",Polihierax semitorquatus,African Pygmy-falcon,Unknown,estimated,Stable,suspected
"Ducks, Geese, Swans",Nettapus auritus,African Pygmy-goose,38300-213000,estimated,Stable,suspected
Kingfishers,Ispidina picta,African Pygmy-kingfisher,Unknown,not applicable,Decreasing,suspected
Waxbills,Ortygospiza atricollis,African Quailfinch,Unknown,,Stable,suspected
"Rails, Gallinules, Coots",Rallus caerulescens,African Rail,Unknown,not applicable,Unknown,not applicable
Swallows and martins,Pseudochelidon eurystomina,African River Martin,Unknown,not applicable,Decreasing,suspected
"Ibises, Spoonbills",Threskiornis aethiopicus,African Sacred Ibis,200000-450000,estimated,Stable,suspected
Typical Owls,Otus senegalensis,African Scops-owl,Unknown,not applicable,Decreasing,suspected
Vangas and allies,Megabyas flammulatus,African Shrike-flycatcher,Unknown,not applicable,Decreasing,suspected
Waxbills,Euodice cantans,African Silverbill,Unknown,not applicable,Stable,suspected
"Gulls, Terns, Skimmers",Rynchops flavirostris,African Skimmer,10000-17000,estimated,Decreasing,suspected
"Sandpipers, Snipes, Phalaropes",Gallinago nigripennis,African Snipe,20000-150000,estimated,Unknown,not applicable
"Ibises, Spoonbills",Platalea alba,African Spoonbill,7300-73000,estimated,Stable,suspected
Nuthatches,Salpornis salvadori,African Spotted Creeper,Unknown,not applicable,Decreasing,suspected
Swifts,Apus barbatus,African Swift,Unknown,,Decreasing,inferred
Plovers,Charadrius tricollaris,African Three-banded Plover,46700-93300,estimated,Increasing,not applicable
Thrushes,Turdus pelios,African Thrush,Unknown,not applicable,Unknown,not applicable
Typical Owls,Strix woodfordii,African Wood-owl,Unknown,not applicable,Decreasing,suspected
Storks,Ciconia microscelis,African Woollyneck,Unknown,estimated,Stable,suspected
Reed-warblers,Iduna natalensis,African Yellow Warbler,Unknown,not applicable,Stable,suspected
White-eyes and Yuhinas,Zosterops senegalensis,African Yellow White-eye,Unknown,,Stable,suspected
Herons,Agamia agami,Agami Heron,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Uromyias agilis,Agile Tit-tyrant,Unknown,not applicable,Decreasing,suspected
Reed-warblers,Acrocephalus nijoi,Aguijan Reed-warbler,Unknown,not applicable,,not applicable
"Pheasants, Partridges, Turkeys, Grouse",Pternistis ahantensis,Ahanta Spurfowl,Unknown,not applicable,Decreasing,suspected
Northern Storm-petrels,Hydrobates cheimomnestes,Ainley's Storm-petrel,2500-9999,suspected,Stable,suspected
Finches,Loxops caeruleirostris,Akekee,310-1000,estimated,Decreasing,estimated
